HexID,Month,TimeIndex,DaysInMonth,Demand_home_total_kWh_day,Demand_public_base_kWh_day,Home_private_served_kWh_day,Home_residual_served_by_public_kWh_day,Public_served_by_public_kWh_day,Grid_to_home_residual_allocated_kWh_day,PV_to_home_residual_allocated_kWh_day,BESS_to_home_residual_allocated_kWh_day,Grid_to_public_allocated_kWh_day,PV_to_public_allocated_kWh_day,BESS_to_public_allocated_kWh_day,Slack_home_kWh_day,Slack_public_kWh_day,Source_allocation_reconciliation_kWh,AllocationMethod
0,January,1,31,12.620145306365856,0.0,12.620145306365856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,2,31,20.901796746503983,0.0,20.901796746503983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,3,31,20.901796746503983,0.0,20.901796746503983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,4,31,15.67836421799893,0.0,15.67836421799893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,5,31,7.8863151478207865,0.0,7.8863151478207865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,6,31,7.8863151478207865,0.0,7.8863151478207865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,7,31,7.8863151478207865,0.0,7.8863151478207865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,8,31,6.238951539164889,0.0,6.238951539164889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,9,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,10,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,11,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,12,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,13,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,14,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,15,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,16,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,17,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,18,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,19,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,20,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,21,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,22,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,23,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,24,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,25,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,26,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,27,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,28,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
0,January,29,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proportional allocation of pooled charger-side supply to served demand classes within each cell-month-slot
